"trait","treatment","linear","delta","QM","QMdf","QMp","QE","QEdf","QEp","r2m","r2c","n","Qm.adj","Qm.adj.r","env","sign"
"Flower symmetry","Day vs. night",NA,-2.354,7.569,2,0.0227202401600853,6021.005,397,0,0.033,0.741,20,0.173609781386512,0.1736,"Trait",""
"Flower symmetry","B) Night vs. open pollination",NA,-2.521,4.124,2,0.127198598268953,2686.586,349,0,0.023,0.727,18,0.727482842746469,0.7275,"Trait",""
"Flower symmetry","A) Day vs. open pollination",NA,-0.245,2.96,2,0.227590242463346,3131.166,339,0,0.012,0.653,18,0.936944934012533,0.9369,"Trait",""
"Lifespan","Day vs. night",NA,-1.809,6.805,2,0.0332847650472742,6198.217,397,0,0.034,0.742,20,0.173609781386512,0.1736,"Trait",""
"Lifespan","B) Night vs. open pollination",NA,-0.755,2.135,2,0.343806013859891,2687.992,349,0,0.01,0.727,18,1,1,"Trait",""
"Lifespan","A) Day vs. open pollination",NA,-1.261,4.178,2,0.123796729809672,3195.726,339,0,0.017,0.652,18,0.778829310741725,0.7788,"Trait",""
"Life form","Day vs. night",NA,-6.37,10.563,4,0.0319394787261069,6151.025,395,0,0.045,0.74,20,0.173609781386512,0.1736,"Trait",""
"Life form","B) Night vs. open pollination",NA,-7.99,10.034,4,0.0398521774485276,2529.484,347,0,0.059,0.74,18,0.364916993218182,0.3649,"Trait",""
"Life form","A) Day vs. open pollination",NA,-10.443,18.905,4,0.000820622791042216,2993.795,337,0,0.067,0.662,18,0.0516269762302258,0.0516,"Trait",""
"PS pathway","Day vs. night",NA,-4.201,9.342,2,0.00936210130167349,5806.9,397,0,0.046,0.741,20,0.122432777581787,0.1224,"Trait",""
"PS pathway","B) Night vs. open pollination",NA,-1.697,2.482,2,0.289126831916955,2694.991,349,0,0.017,0.729,18,1,1,"Trait",""
"PS pathway","A) Day vs. open pollination",NA,-3.464,6.505,2,0.0386840964235042,2718.422,339,0,0.04,0.65,18,0.426979227788694,0.427,"Trait",""
"Flower shape","Day vs. night",NA,-7.844,10.097,5,0.0725412547187735,5905.233,394,0,0.045,0.744,20,0.260984548880693,0.261,"Trait",""
"Flower shape","B) Night vs. open pollination",NA,-9.627,11.606,5,0.0406030831820594,2639.915,346,0,0.066,0.735,18,0.364916993218182,0.3649,"Trait",""
"Flower shape","A) Day vs. open pollination",NA,-7.306,14.274,5,0.0139616568244077,2785.358,336,0,0.062,0.648,18,0.219588747983965,0.2196,"Trait",""
"Breeding system","Day vs. night",NA,-4.372,8.658,3,0.0342050787269553,6144.409,396,0,0.043,0.746,20,0.173609781386512,0.1736,"Trait",""
"Breeding system","B) Night vs. open pollination",NA,-4.162,5.88,3,0.117584022974818,2597.6,348,0,0.035,0.728,18,0.727482842746469,0.7275,"Trait",""
"Breeding system","A) Day vs. open pollination",NA,-0.577,3.706,3,0.295069618084311,3175.736,338,0,0.015,0.656,18,1,1,"Trait",""
"Bloom period","Day vs. night",NA,-17.827,23.258,3,3.56815893539113e-05,5672.969,396,0,0.118,0.746,20,0.000855820460323216,9e-04,"Trait","*"
"Bloom period","B) Night vs. open pollination",NA,-5.768,7.039,3,0.0706574760988129,2625.253,348,0,0.044,0.737,18,0.555649909870329,0.5556,"Trait",""
"Bloom period","A) Day vs. open pollination",NA,-7.037,11.381,3,0.00983540292484621,2824.676,338,0,0.057,0.657,18,0.206254777289674,0.2063,"Trait",""
"Nectar","Day vs. night",NA,-1.53,6.605,2,0.036789379419789,6004.506,397,0,0.03,0.739,20,0.173609781386512,0.1736,"Trait",""
"Nectar","B) Night vs. open pollination",NA,-1.328,2.683,2,0.261457995376482,2696.741,349,0,0.016,0.728,18,1,1,"Trait",""
"Nectar","A) Day vs. open pollination",NA,-1.839,4.837,2,0.089033900817123,3023.292,339,0,0.022,0.641,18,0.667261138885963,0.6673,"Trait",""
"Odour","Day vs. night",NA,-18.102,25,2,3.72731137148318e-06,5989.854,397,0,0.107,0.743,20,0.000134098959357077,1e-04,"Trait","*"
"Odour","B) Night vs. open pollination",NA,-30.522,35.594,2,1.86596956492681e-08,2440.994,349,6.88854147478303e-310,0.161,0.725,18,1.17391775400795e-06,0,"Trait","*"
"Odour","A) Day vs. open pollination",NA,-2.129,5.394,2,0.0674004623252085,3195.591,339,0,0.021,0.659,18,0.605756315178007,0.6058,"Trait",""
"Flower colour","Day vs. night",NA,-27.508,30.511,7,7.64875365968298e-05,5254.171,392,0,0.117,0.736,20,0.00137591121845822,0.0014,"Trait","*"
"Flower colour","B) Night vs. open pollination",NA,-15.19,17.824,7,0.0127918693229037,2486.395,344,1.6709300142351e-320,0.086,0.729,18,0.160952276900565,0.161,"Trait",""
"Flower colour","A) Day vs. open pollination",NA,-16.389,22.821,7,0.00183167255394092,2679.072,334,0,0.08,0.682,18,0.0576170418590045,0.0576,"Trait",""
"Style length","Day vs. night","linear",-1.422,6.351,2,0.0417652390172637,6162.255,397,0,0.029,0.741,20,0.173609781386512,0.1736,"Trait",""
"Style length","B) Night vs. open pollination","linear",-2.053,3.762,2,0.152437737969631,2690.664,349,0,0.022,0.725,18,0.764456935286577,0.7645,"Trait",""
"Style length","A) Day vs. open pollination","linear",-1.594,4.698,2,0.095456438535988,3120.956,339,0,0.02,0.658,18,0.667261138885963,0.6673,"Trait",""
"Plant height","Day vs. night","linear",-1.337,6.68,2,0.0354382448113011,6198.722,397,0,0.03,0.741,20,0.173609781386512,0.1736,"Trait",""
"Plant height","B) Night vs. open pollination","linear",-7.008,9.383,2,0.00917512300281938,2587.794,349,0,0.046,0.728,18,0.144306209365195,0.1443,"Trait",""
"Plant height","A) Day vs. open pollination","linear",-0.646,3.741,2,0.154079231090573,3074.98,339,0,0.015,0.654,18,0.872008208200761,0.872,"Trait",""
"DTR","Day vs. night","linear",-2.301,8.031,2,0.0180295956537317,6171.469,397,0,0.037,0.732,20,0.173609781386512,0.1736,"Environment",""
"DTR^2","Day vs. night","quadratic",-5.885,11.3,3,0.0102091415096157,6161.288,396,0,0.047,0.734,20,0.122432777581787,0.1224,"Environment",""
"DTR","B) Night vs. open pollination","linear",-1.962,3.691,2,0.157965869507756,2671.757,349,0,0.018,0.725,18,0.764456935286577,0.7645,"Environment",""
"DTR^2","B) Night vs. open pollination","quadratic",-4.122,6.434,3,0.0923192665151505,2663.848,348,0,0.027,0.723,18,0.645331628340522,0.6453,"Environment",""
"DTR","A) Day vs. open pollination","linear",-0.084,2.988,2,0.224464374992756,3126.604,339,0,0.012,0.651,18,0.936944934012533,0.9369,"Environment",""
"DTR^2","A) Day vs. open pollination","quadratic",0.017,3.355,3,0.340005535413247,3116.481,338,0,0.013,0.653,18,1,1,"Environment",""
"Daylength","Day vs. night","linear",-2.454,7.534,2,0.023116883762243,6167.524,397,0,0.037,0.742,20,0.173609781386512,0.1736,"Environment",""
"Daylength^2","Day vs. night","quadratic",-3.813,7.785,3,0.0506682114795201,6165.456,396,0,0.035,0.741,20,0.191885298733065,0.1919,"Environment",""
"Daylength","B) Night vs. open pollination","linear",-0.429,1.803,2,0.406023416345261,2698.253,349,0,0.008,0.728,18,1,1,"Environment",""
"Daylength^2","B) Night vs. open pollination","quadratic",-1.09,2.492,3,0.476674357671917,2697.231,348,0,0.009,0.734,18,1,1,"Environment",""
"Daylength","A) Day vs. open pollination","linear",-0.684,3.588,2,0.166329278654862,3176.826,339,0,0.015,0.656,18,0.872008208200761,0.872,"Environment",""
"Daylength^2","A) Day vs. open pollination","quadratic",-1.325,4.224,3,0.238287321224776,3166.506,338,0,0.015,0.659,18,0.936944934012533,0.9369,"Environment",""
"Elevation","Day vs. night","linear",-1.235,6.376,2,0.0412537774051871,6172.972,397,0,0.029,0.738,20,0.173609781386512,0.1736,"Environment",""
"Elevation^2","Day vs. night","quadratic",-24.642,29.948,3,1.41495928428744e-06,6065.013,396,0,0.139,0.766,20,0.000101813102606491,1e-04,"Environment","*"
"Elevation","B) Night vs. open pollination","linear",-7.237,9.882,2,0.00714652694801427,2695.329,349,0,0.053,0.703,18,0.144306209365195,0.1443,"Environment",""
"Elevation^2","B) Night vs. open pollination","quadratic",-26.33,31.807,3,5.74767093275087e-07,2498.361,348,5.02464761820548e-321,0.15,0.723,18,1.80798579970845e-05,0,"Environment","*"
"Elevation","A) Day vs. open pollination","linear",-0.155,3.149,2,0.207140181621287,3196.129,339,0,0.013,0.653,18,0.936944934012533,0.9369,"Environment",""
"Elevation^2","A) Day vs. open pollination","quadratic",-5.185,8.271,3,0.0407216046195479,3193.427,338,0,0.036,0.659,18,0.426979227788694,0.427,"Environment",""
"Pollination dependency","Day vs. night","linear",NA,7.319,2,0.0257438713788979,2359.062,172,0,0.053,0.822,20,0.173609781386512,0.1736,"Trait",""
"Pollination dependency^2","Day vs. night","quadratic",NA,8.128,3,0.0434297136919324,2357.905,171,0,0.053,0.822,20,0.173609781386512,0.1736,"Trait",""
